Gray Wolf,Endangered
Ocelot,Endangered
Mexican Long-Nosed Bat,Endangered
Golden-Cheeked Warbler,Endangered
Red Wolf,Endangered
"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered
Whooping Crane,Endangered
Red-Cockaded Woodpecker,Endangered
"Gray Wolf, Wolf",Endangered
Yellow-Billed Cuckoo,Threatened
Whooping Crane,Endangered
Bald Eagle,Threatened
Northern Spotted Owl,In Recovery 
Green Sturgeon,Threatened
Sockeye Salmon,Threatened
Nortern Sea Lion ,In Recovery 
